StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,DDS2_OD,DDS2_TQ,DDS7_OD,DDS7_TQ,DDS8_OD,DDS8_TQ,DBOG_OB,DBOG_TQ,DBS2_OB,DBS2_TQ,DBS4_OB,DBS4_TQ,KAOG_MC,KAOG_TQ,KAOG_MQ,KAS5_MC,KAS5_TQ,KAS5_MQ,KAS7_MC,KAS7_TQ,KAS7_MQ,FBS1_TQ,FBS1_MQ,FBS3_TQ,FBS3_MQ,FBS4_TQ,FBS4_MQ,RAES1_MC1,RAES1_TFQ,RAES1_TLQ,RAES4_TFQ,RAES4_TLQ,RAES9_TFQ,RAES9_TLQ,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Type ID number,DDS2_OD,DDS2_TQ,DDS7_OD,DDS7_TQ,DDS8_OD,DDS8_TQ,DBOG_OB,DBOG_TQ,DBS2_OB,DBS2_TQ,DBS4_OB,DBS4_TQ,KAOG_MC,KAOG_TQ,KAOG_MQ,KAS5_MC,KAS5_TQ,KAS5_MQ,KAS7_MC,KAS7_TQ,KAS7_MQ,FBS1_TQ,FBS1_MQ,FBS3_TQ,FBS3_MQ,FBS4_TQ,FBS4_MQ,RAES1_MC1,RAES1_TFQ,RAES1_TLQ,RAES4_TFQ,RAES4_TLQ,RAES9_TFQ,RAES9_TLQ,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID454_TEXT""}","{""ImportId"":""QID172""}","{""ImportId"":""QID175""}","{""ImportId"":""QID192""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID199""}","{""ImportId"":""QID100""}","{""ImportId"":""QID103""}","{""ImportId"":""QID209""}","{""ImportId"":""QID212""}","{""ImportId"":""QID217""}","{""ImportId"":""QID220""}","{""ImportId"":""QID241""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID289""}","{""ImportId"":""QID290""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID341""}","{""ImportId"":""QID343""}","{""ImportId"":""QID344""}","{""ImportId"":""QID364""}","{""ImportId"":""QID365""}","{""ImportId"":""QID399""}","{""ImportId"":""QID400""}","{""ImportId"":""id""}"
2024-12-03 09:19:00,2024-12-03 09:25:42,0,192.42.89.2,100,402,1,2024-12-03 09:25:43,R_7lOG8YuN0yfqpjP,,,,,42.2958,-71.3018,anonymous,EN,2115,2,1,,,,,,,,,1,2,,,,,2,2,,,,2,2,,,,,,1,1,,,,,
2024-12-03 09:26:22,2024-12-03 09:53:26,0,192.42.89.2,100,1624,1,2024-12-03 09:53:27,R_7exwaHDVCCoA7Od,,,,,42.2958,-71.3018,anonymous,EN,2111,,,1,2,,,2,1,,,,,,,,,,,,2,2,,,,,1,1,,,,,,1,3,
2024-12-03 09:53:36,2024-12-03 10:11:22,0,192.42.89.2,100,1065,1,2024-12-03 10:11:22,R_3Eg4d6jFDudo73s,,,,,42.2958,-71.3018,anonymous,EN,2127,,,,,2,1,,,,,1,2,,2,2,,,,,,,1,2,,,,,,,,,,1,1,
2024-12-03 10:11:32,2024-12-03 10:26:21,0,192.42.89.2,100,888,1,2024-12-03 10:26:21,R_7DHhr9BuNPj6GmW,,,,,42.2958,-71.3018,anonymous,EN,2125,1,2,,,,,1,2,,,,,,,,,2,2,,,,,,,,2,2,,1,1,,,,,
2024-12-04 06:06:15,2024-12-04 06:43:55,0,192.42.89.2,100,2259,1,2024-12-04 06:43:55,R_3ysFN1esSOflJB6,,,,,42.2958,-71.3018,anonymous,EN,2124,,,1,2,,,,,2,1,,,,,,,,,,1,1,,,2,2,,,,,,1,1,,,
2024-12-04 06:44:05,2024-12-04 06:57:51,0,192.42.89.2,100,825,1,2024-12-04 06:57:52,R_11pGowujoPCLcRW,,,,,42.2958,-71.3018,anonymous,EN,2123,1,2,,,,,,,,,1,2,,,,,,,,2,2,2,2,,,,,,,,1,1,,,
2024-12-04 06:57:59,2024-12-04 07:10:47,0,192.42.89.2,100,767,1,2024-12-04 07:10:48,R_50uuBLDHXMsbc0K,,,,,42.2958,-71.3018,anonymous,EN,2114,,,,,2,1,2,1,,,,,,,,,2,2,,,,,,2,1,,,,1,2,,,,,
2024-12-06 08:32:09,2024-12-06 08:48:52,0,192.42.89.2,100,1003,1,2024-12-06 08:48:53,R_3rlN9M9mIVB86mR,,,,,42.2958,-71.3018,anonymous,EN,2119,,,1,2,,,,,2,1,,,,2,2,,,,,,,,,,,1,2,,,,,,1,1,
2024-12-06 08:49:01,2024-12-06 09:16:37,0,192.42.89.2,100,1655,1,2024-12-06 09:16:38,R_1PaLQG16KHcx4eS,,,,,42.2958,-71.3018,anonymous,EN,2117,,,1,2,,,,,,,2,1,,1,2,,,,,,,,,1,2,,,,,,1,2,,,
2024-12-06 09:53:45,2024-12-06 10:02:23,0,192.42.89.2,100,518,1,2024-12-06 10:02:24,R_7iVC4cZwoNgfKGt,,,,,42.2958,-71.3018,anonymous,EN,2122,,,,,1,2,2,1,,,,,,,,,,,,2,1,,,,,1,1,,1,1,,,,,
2024-12-09 08:31:04,2024-12-09 08:47:19,0,192.42.89.2,100,975,1,2024-12-09 08:47:20,R_71t0P2w2wxuD7ot,,,,,42.2958,-71.3018,anonymous,EN,3234,1,2,,,,,,,1,2,,,,,,,2,2,,,,1,2,,,,,,,,,,1,1,
2024-12-09 08:47:26,2024-12-09 09:23:11,0,192.42.89.2,100,2145,1,2024-12-09 09:23:12,R_59r1XTJSHbOvfnX,,,,,42.2958,-71.3018,anonymous,EN,2110,,,,,1,2,1,2,,,,,,2,2,,,,,,,,,2,2,,,,,,3,3,,,
2024-12-10 10:03:39,2024-12-10 10:10:05,0,192.42.89.2,100,386,1,2024-12-10 10:10:05,R_7jqfAXv8GpCMZXJ,,,,,42.2958,-71.3018,anonymous,EN,1031,2,1,,,,,,,1,2,,,,,,,,,,2,2,1,2,,,,,,,,,,1,1,
2024-12-10 10:12:26,2024-12-10 10:25:40,0,192.42.89.2,100,793,1,2024-12-10 10:25:40,R_6XpbSQY9xdnEwA9,,,,,42.2958,-71.3018,anonymous,EN,1032,,,2,1,,,,,,,2,1,,,,,1,2,,,,,,,,2,2,,1,1,,,,,
2024-12-10 10:26:13,2024-12-10 10:38:12,0,192.42.89.2,100,719,1,2024-12-10 10:38:13,R_54HhQsNcdMhB5tn,,,,,42.2958,-71.3018,anonymous,EN,1040,,,1,2,,,,,2,1,,,,,,,2,2,,,,,,1,2,,,,,,,,1,3,
2024-12-11 06:15:52,2024-12-11 06:39:09,0,192.42.89.2,100,1396,1,2024-12-11 06:39:10,R_1XRGAeboSPRCx7r,,,,,42.2958,-71.3018,anonymous,EN,1027,,,,,2,2,2,2,,,,,,1,2,,,,,,,2,1,,,,,,2,2,,,,,
2024-12-11 06:39:15,2024-12-11 06:53:31,0,192.42.89.2,100,855,1,2024-12-11 06:53:31,R_5IFY4evDK7V94fl,,,,,42.2958,-71.3018,anonymous,EN,1043,2,1,,,,,,,,,2,1,,,,,,,,1,1,,,,,1,2,,,,3,1,,,
2024-12-12 06:06:33,2024-12-12 06:54:08,0,192.42.89.2,100,2854,1,2024-12-12 06:54:09,R_77JNTd9hTFHRo02,,,,,42.2958,-71.3018,anonymous,EN,1041,1,2,,,,,,,,,1,2,,,,,,,,2,2,2,2,,,,,,,,,,1,1,
2024-12-12 06:55:19,2024-12-12 07:10:59,0,192.42.89.2,100,939,1,2024-12-12 07:11:00,R_7FCYZb3pYIv3pBD,,,,,42.2958,-71.3018,anonymous,EN,1021,,,,,1,2,,,2,1,,,,1,2,,,,,,,,,,,2,2,,1,3,,,,,
2024-12-12 07:11:11,2024-12-12 07:25:06,0,192.42.89.2,100,835,1,2024-12-12 07:25:07,R_7FLCJNVrPKskV8t,,,,,42.2958,-71.3018,anonymous,EN,1044,,,1,1,,,2,2,,,,,,,,,1,1,,,,,,1,1,,,,,,1,1,,,
2024-12-12 07:25:12,2024-12-12 07:41:41,0,192.42.89.2,100,988,1,2024-12-12 07:41:42,R_7zyVWQKOoAXIY7v,,,,,42.2958,-71.3018,anonymous,EN,1020,,,,,2,1,,,2,2,,,,,,,,,,1,1,,,2,1,,,,,,3,1,,,
2024-12-12 07:41:49,2024-12-12 08:01:54,0,192.42.89.2,100,1204,1,2024-12-12 08:01:54,R_6LZNsKQWdkOp8GJ,,,,,42.2958,-71.3018,anonymous,EN,1022,,,1,2,,,,,,,2,1,,,,,1,1,,,,,,,,2,1,,1,1,,,,,
2024-12-12 08:02:01,2024-12-12 08:16:45,0,192.42.89.2,100,883,1,2024-12-12 08:16:45,R_3lzp4v18sxvTNJY,,,,,42.2958,-71.3018,anonymous,EN,1024,2,1,,,,,2,1,,,,,,2,2,,,,,,,1,2,,,,,,,,,,1,1,
2024-12-12 08:16:55,2024-12-12 08:42:03,0,192.42.89.2,100,1508,1,2024-12-12 08:42:04,R_1gSjKBES8niEziC,,,,,42.2958,-71.3018,anonymous,EN,1042,,,,,1,2,,,,,1,1,,2,1,,,,,,,2,2,,,,,,1,1,,,,,
